post_date,count_id_indexed
8/28/2020,1.0736
10/13/2020,1.0733
8/22/2020,1.0732
8/30/2020,1.072
3/6/2020,1.0716
10/15/2020,1.0626
10/31/2020,1.0616
8/19/2020,1.0607
10/14/2020,1.0598
3/5/2020,1.0582
9/18/2020,1.0481
3/4/2020,1.0461
9/20/2020,1.043
9/19/2020,1.0401
3/13/2020,1.0386
9/21/2020,1.0368
9/6/2020,1.0343
9/16/2020,1.0331
9/15/2020,1.0329
9/5/2020,1.0307
9/17/2020,1.0267
9/4/2020,1.0229
3/3/2020,1.0223
8/14/2020,1.0148
3/2/2020,1.01
9/3/2020,1.0099
9/2/2020,1.0032
3/1/2020,1
9/1/2020,0.9984
3/14/2020,0.9944
3/15/2020,0.9915
11/26/2020,0.9912
8/17/2020,0.9902
9/7/2020,0.988
8/21/2020,0.9809
12/5/2020,0.9809
8/31/2020,0.9709
7/11/2021,0.9656
9/30/2020,0.9646
12/7/2020,0.9584
9/14/2020,0.9565
9/22/2020,0.9537
3/16/2020,0.9498
12/6/2020,0.9481
12/8/2020,0.9375
12/4/2020,0.9257
8/15/2020,0.9232
8/7/2020,0.9159
6/9/2020,0.9137
8/8/2020,0.9058
12/9/2020,0.9035
6/30/2021,0.9019
12/10/2020,0.8993
8/16/2020,0.8991
8/9/2020,0.897
8/6/2020,0.8934
9/13/2020,0.8932
9/8/2020,0.8902
9/12/2020,0.8893
9/11/2020,0.8861
12/11/2020,0.8851
9/10/2020,0.885
8/5/2020,0.8839
9/9/2020,0.8833
8/4/2020,0.8822
3/17/2020,0.8803
8/3/2020,0.875
8/2/2020,0.8738
7/16/2020,0.8703
7/2/2020,0.8701
12/12/2020,0.8676
8/12/2020,0.8654
8/1/2020,0.8632
12/16/2020,0.863
7/14/2020,0.8618
7/15/2020,0.8614
12/13/2020,0.8612
7/27/2020,0.8597
7/17/2020,0.8591
7/24/2020,0.858
7/18/2020,0.8566
7/29/2020,0.8566
7/25/2020,0.8562
7/28/2020,0.8554
12/14/2020,0.8544
7/19/2020,0.8538
7/1/2020,0.8537
7/26/2020,0.8535
7/23/2020,0.8533
11/27/2020,0.8511
7/20/2020,0.8493
12/15/2020,0.8488
7/21/2020,0.8482
7/30/2020,0.8468
7/13/2020,0.846
7/22/2020,0.8459
12/17/2020,0.8444
9/29/2020,0.8387
9/23/2020,0.8355
7/31/2020,0.8348
6/26/2020,0.8342
8/10/2020,0.8332
7/12/2020,0.8328
12/18/2020,0.8299
3/18/2020,0.8288
6/25/2020,0.8276
6/22/2020,0.8256
7/3/2020,0.8252
12/3/2020,0.8232
6/24/2020,0.8224
6/27/2020,0.8219
6/23/2020,0.82
8/13/2020,0.8184
7/11/2020,0.8165
6/21/2020,0.8152
6/28/2020,0.8128
8/11/2020,0.8125
6/8/2020,0.8063
6/29/2020,0.8055
6/30/2020,0.8048
6/20/2020,0.8026
12/20/2020,0.7933
12/19/2020,0.7899
6/19/2020,0.7877
6/18/2020,0.7842
6/13/2020,0.7826
3/19/2020,0.7819
6/17/2020,0.7808
6/14/2020,0.7771
6/12/2020,0.7768
6/15/2020,0.7766
6/10/2020,0.7742
6/16/2020,0.7734
7/4/2020,0.7702
6/11/2020,0.7689
12/2/2020,0.7654
9/28/2020,0.7651
7/10/2020,0.7608
4/7/2020,0.759
7/7/2020,0.7582
7/5/2020,0.7555
7/6/2020,0.7471
3/20/2020,0.7429
9/24/2020,0.7424
12/1/2020,0.7414
4/8/2020,0.7376
11/29/2020,0.7358
4/10/2020,0.7353
4/9/2020,0.7347
11/28/2020,0.7333
12/21/2020,0.7321
4/12/2020,0.7293
5/14/2020,0.7274
6/7/2020,0.7271
7/8/2020,0.7254
5/15/2020,0.7253
5/18/2020,0.7227
5/16/2020,0.7223
5/19/2020,0.7207
7/1/2021,0.7203
5/17/2020,0.7186
4/13/2020,0.7178
11/30/2020,0.7162
3/21/2020,0.715
12/23/2020,0.7135
9/27/2020,0.7124
5/13/2020,0.7119
5/7/2020,0.7114
7/9/2020,0.7106
4/11/2020,0.7099
3/22/2020,0.6995
5/6/2020,0.6956
5/3/2020,0.6928
5/2/2020,0.6899
1/5/2021,0.6898
5/5/2020,0.6881
6/6/2020,0.6865
5/20/2020,0.686
5/4/2020,0.6809
5/12/2020,0.6781
12/22/2020,0.6774
6/5/2020,0.6738
3/23/2020,0.6737
5/8/2020,0.6733
5/11/2020,0.6725
5/22/2020,0.6718
5/21/2020,0.6717
5/1/2020,0.6709
5/9/2020,0.6684
5/10/2020,0.6684
6/4/2020,0.6624
5/23/2020,0.6623
4/3/2020,0.6621
12/24/2020,0.6608
5/24/2020,0.6597
6/3/2020,0.6555
4/6/2020,0.6552
3/24/2020,0.6545
4/4/2020,0.6531
7/10/2021,0.6507
9/25/2020,0.6499
9/26/2020,0.6426
4/5/2020,0.6296
4/30/2020,0.6181
4/2/2020,0.6167
5/25/2020,0.614
4/29/2020,0.611
4/1/2020,0.6083
4/28/2020,0.6079
4/18/2020,0.6039
5/30/2020,0.6022
5/29/2020,0.5947
4/27/2020,0.5946
3/25/2020,0.5939
1/3/2021,0.5936
4/23/2020,0.5852
5/28/2020,0.5846
1/2/2021,0.5839
4/22/2020,0.5815
4/24/2020,0.5814
4/14/2020,0.5812
4/19/2020,0.5806
4/26/2020,0.5798
4/15/2020,0.5781
4/25/2020,0.5777
4/20/2020,0.5767
5/31/2020,0.5767
4/17/2020,0.5752
5/27/2020,0.5741
4/21/2020,0.5738
4/16/2020,0.5737
12/29/2020,0.5721
5/26/2020,0.5687
7/2/2021,0.5683
7/9/2021,0.5659
3/26/2020,0.5648
1/1/2021,0.5647
12/25/2020,0.56
12/28/2020,0.5571
3/31/2020,0.5566
1/4/2021,0.5558
6/1/2020,0.5471
3/29/2020,0.5325
12/26/2020,0.5305
3/30/2020,0.5283
12/27/2020,0.5174
12/31/2020,0.5148
7/8/2021,0.5105
3/28/2020,0.5095
3/27/2020,0.5058
6/2/2020,0.5052
12/30/2020,0.5032
7/3/2021,0.4724
7/7/2021,0.4677
7/5/2021,0.4619
7/6/2021,0.4588
7/4/2021,0.4346
