post_date,count_id_indexed
8/4/2021,4.0974
8/3/2021,4.0854
8/5/2021,3.6495
8/2/2021,3.4454
7/30/2021,3.2765
8/1/2021,3.1906
8/6/2021,3.187
8/7/2021,3.1762
7/31/2021,3.1687
8/8/2021,3.0188
7/29/2021,2.8663
8/9/2021,2.6939
7/28/2021,2.4725
9/6/2021,2.4712
8/26/2021,2.4666
8/25/2021,2.4657
7/23/2021,2.4633
7/25/2021,2.4628
8/24/2021,2.4599
8/23/2021,2.4504
8/27/2021,2.4453
7/27/2021,2.4305
7/26/2021,2.4238
7/24/2021,2.4158
1/11/2021,2.3942
9/5/2021,2.375
9/2/2021,2.3725
1/12/2021,2.3708
8/21/2021,2.3693
9/1/2021,2.357
8/22/2021,2.3272
7/22/2021,2.3008
9/7/2021,2.2839
9/3/2021,2.2815
1/10/2021,2.2672
9/4/2021,2.266
1/9/2021,2.233
8/28/2021,2.2047
8/29/2021,2.1835
7/21/2021,2.1315
1/8/2021,2.1019
8/31/2021,2.0827
9/19/2021,2.0763
8/20/2021,2.072
8/30/2021,2.0368
9/18/2021,2.0087
9/15/2021,2.0035
7/17/2021,2.0015
9/8/2021,1.9995
9/17/2021,1.9826
8/10/2021,1.9809
9/16/2021,1.9723
9/9/2021,1.9662
8/12/2021,1.9396
1/7/2021,1.9388
9/10/2021,1.9229
8/15/2021,1.9137
7/20/2021,1.909
8/14/2021,1.909
8/13/2021,1.9034
1/13/2021,1.8855
9/11/2021,1.8773
8/11/2021,1.8715
7/18/2021,1.8539
7/19/2021,1.8237
8/19/2021,1.8137
8/16/2021,1.7967
6/10/2021,1.7958
9/20/2021,1.7846
7/16/2021,1.7561
8/17/2021,1.7523
8/18/2021,1.752
9/12/2021,1.7456
5/5/2021,1.721
7/15/2021,1.7196
5/2/2021,1.7144
5/4/2021,1.7111
5/3/2021,1.7089
5/1/2021,1.6876
6/9/2021,1.6833
7/14/2021,1.6775
5/7/2021,1.6696
4/29/2021,1.6628
4/30/2021,1.6625
5/6/2021,1.6583
5/8/2021,1.636
4/28/2021,1.6275
4/13/2021,1.6246
4/27/2021,1.618
4/26/2021,1.6146
4/12/2021,1.6144
6/8/2021,1.6091
